"Table 4  -Full list of first forenames given, Scotland, 2007",,,,

Boys,,,Girls,
Name,Number,,Name,Number
Bilal,3,,Anneroy,1
Bill,1,,Annica,1
Billy,35,,Annick,1
Binod,1,,Annie,34
Bjorn,2,,Annika,3
Blaike,1,,Ann-Margaret,1
Blaine,5,,Annmarie,1
Blair,99,,Ann-Marie,1
Blaire,1,,Annoushka,1
Blake,40,,Annsarai,1
Blazej,1,,Anona,1
Blazey,1,,Anousha,1
Blessing,1,,Antigone,1
Blue,1,,Antonia,5
Blyth,1,,Antonina,2
Bo,1,,Anum,1
Boab,1,,Anurati,1
Bob,1,,Anureet,1
Bobby,17,,Anwen,1
Bobby-Lee,1,,Anya,26
Bodhan,1,,Aoibha,1
Boedyn,1,,Aoibhe,1
Bogdan,1,,Aoibheann,1
Bohbi,1,,Aoife,21
Bony,1,,Aphra,1
Bowen,1,,April,16
Bowie,1,,Apryl,1
Boyd,14,,Aqsa,3
Bracken,1,,Arabella,2
Brad,4,,Architha,1
Bradan,1,,Ar'den,1
Braden,3,,Areeba,1
Bradley,39,,Areej,2
Bradlie,1,,Arella,1
Bradly,1,,Arfa,1
Brady,4,,Arfaa,1
Bradyn,1,,Aria,6
Braeden,2,,Ariah,1
Braiden,4,,Ariana,4
Brajan,1,,Arianna,8
Brandan,4,,Ariel,1
Branden,6,,Ariella,3
Brandon,88,,Arin,1
Brandonlee,1,,Arisha,1
Brandon-Lee,6,,Arissa,1
Brandyn,11,,Arlene,1
Brannan,1,,Armani,1
Brayden,10,,Armelle,1
Braydon,1,,Aroob,1
Braydyn,1,,Arooba,1
Breandan,1,,Arshita,1
Brehme,1,,Arshjoyat,1
Brendan,18,,Artemis,1
Brendon,1,,Arwa,2
Brendyn,1,,Arwen,11
Breogan,1,,Arya,1
Bret,1,,Arzoo,1
Brett,5,,Asal,1
Briaddon,1,,Aseel,2
Brian,22,,Asena,1
Brodi,1,,Asha,1
Brodie,58,,Ashbey,1
Brody,10,,Ashlee,1
Brogan,4,,Ashleen,1
Broghan,1,,Ashleigh,20
Brooke,1,,Ashley,34
Brooklin,1,,Ashley-Louise,1
Brooklyn,14,,Ashlin,1
Bruce,24,,Ashlyn,2
Bruin,1,,Ashlynn,1
Bruno,4,,Ashna,1
Brunon,1,,Ashton,3
Bryan,10,,Ashtyn,4
Bryce,9,,Asia,3
Bryden,2,,Asiya,1
Brydon,1,,Asra,1
Brydon-Craig,1,,Asritha,1
Bryn,2,,Astra,1
Brynmor,2,,Astrid,1
Bryson,1,,Astrud,1
Buddy,1,,Asya,1
Bully,1,,Athena,1
Burak,1,,Atika,1
Burhan,1,,Atiya,1
Butali,1,,Atlanta,1
Butchi,1,,Audrey,2
Byron,1,,Aurea,1
Cabhan,1,,Aurelia,2
Cadan,1,,Aurelija,1
Cade,2,,Aurlah,1
Caden,13,,Aurora,2
Cadon,1,,Ausra,1
Cadyn,1,,Autumn,7
Caedan,1,,Ava,254
Caedyn,1,,Ava-Grace,1
Cael,2,,Avah,1
Caelan,14,,Ava-Jae,1
Caelen,2,,Ava-Mae,1
Caethan,1,,Avani,2
Cahl,2,,Avanya,1
Cahlum,1,,Avesta,1
Cai,3,,Avril,1
Caidan,3,,Avsta,1
Caiden,26,,Avya,1
Caiden-Paul,1,,Aya,2
Caidyn,1,,Ayaan,1
Caie,1,,Ayaana,1
Cailaen,1,,Ayah,1
Cailean,10,,Ayanna,1
Caileb-John,1,,Ayat,1
Cailin,2,,Ayda,1
Cain,9,,Ayeesha,1
Caine,2,,Ayeisha,1
Cairn,1,,Ayesha,7
Cal,4,,Ayiah,1
Calan,13,,Ayla,12
Calder,1,,Aylea-Louise,1
Cale,1,,Ayleen,1
Calean,1,,Ayleigh,1
Caleb,72,,Aylesha,1
Calen,1,,Aylie,2
Caley,3,,Aymal,1
Calib,2,,Aymie,1
Calin,1,,Ayomide,1
Callahan,1,,Ayooluwa,1
Callan,20,,Ayra,1
Callan-Adam,1,,Ayse,1
Calley,1,,Aysha,4
Callie,1,,Ayshah,1
Callin,1,,Ayva,4
Callum,411,,Babyjane,1
Callun,1,,Baighley,1
Callyn,1,,Baileigh,3
Calum,185,,Bailey,28
Calum-James,1,,Bailie,1
Calvin,49,,Baillie,7
Cambell,1,,Balqees,1
Camerin,1,,Barbara,2
Cameron,396,,Bay,1
Campbel,1,,Bayleigh,1
Campbell,32,,Bayley,2
Camron,2,,Bayli,1
Caolain,1,,Baylie,2
Caolan,2,,Beatrice,6
Carl,3,,Beatriz,1
Carlo,2,,Beau,3
Carlos,2,,Becca,12
Carrich,1,,Becky,14
Carrick,8,,Bekki,2
Carson,15,,Bella,3
Carter,11,,Belle,4
Carwyn,1,,Bena,1
Casey,9,,Bente,1
Casper,7,,Beraka,1
Cassy,1,,Berlin,1
Cathal,3,,Bernadette,1
Cator,1,,Betane,1
Cavan,1,,Beth,83
Cayden,28,,Bethan,15
Cayden-Robert,1,,Bethanie,3
Cayden-Tiamo,1,,Bethany,62
Ceejay,1,,Bethany-Marie,1
Ceilan,1,,Bethel,2
Ceiran,1,,Betheny,1
Ceirin,1,,Bethlin,1
Ceiron,1,,Betsy,2
Cejay,1,,Betty,1
Celik,1,,Beyza,1
Cephas,2,,Bianca,4
Cesar,1,,Biatris,1
Cesare,1,,Billi,1
Chad,1,,Billie,14
Chaitanya,1,,Billiejo,2
Chang-Ha,1,,Billie-Jo,2
Charles,51,,Bintou,1
Charley,2,,Bisma,1
Charlie,209,,Bismah,2
Charly,1,,Blaise,1
Chase,2,,Blanka,1
Che,5,,Blyth,1
Chester,1,,Blythe,2
Chevy,1,,Bobbi,6
Chi,1,,Bobbie,2
Chibudom,1,,Bobbi-Leigh,1
Chidera,2,,Boe,1
Chimsom,1,,Boni,1
Chin,1,,Bonni,1
Chintu,1,,Bonnie,11
Chiqal,1,,Bonnie-Bleu,1
Chiron,1,,Bonnie-Marie,1
Chris,3,,Bo-Sapphire,1
Chris-Daniel,1,,Boshra,1
Chrismedi,1,,Boudicca,1
Christian,11,,Bow,1
Christie,2,,Bracken,1
Christoph,1,,Bracken-Jean,1
Christopher,160,,Braegan,1
Christopher-Lee,1,,Bramble,1
Christy,4,,Brandi,1
Chu,1,,Brea,2
Chukwuemeka,1,,Breagh,2
Cian,27,,Breagha,3
Ciann,1,,Breah,1
Ciar,1,,Breanna,6
Ciaran,46,,Bree,2
Ciarian,1,,Breeanna,1
Cieran,1,,Brenae,1
Cillian,4,,Brenna,4
Cillin,1,,Brenna-Louise,1
Cinar,2,,Briagha,1
CJ,2,,Briana,1
C-Jay,2,,Brianna,4
Clark,5,,Brieghanna,1
Clarke,3,,Brier,1
Clayton,2,,Brigitte,1
Clement,1,,Briony,4
Clifford,1,,Brodi,1
Clyde,1,,Brodie,15
Cobain,2,,Brody,2
Coban,1,,Brogan,23
Coben,3,,Broghan,2
Cobi,1,,Bronagh,5
Cobie,1,,Bronte,1
Coby,4,,Bronwen,2
Codey,2,,Bronwyn,2
Codi,1,,Brook,1
Codie,2,,Brooke,219
Cody,49,,Brookelyn,1
Cody-Lee,1,,Brooke-Marie,1
Coel,1,,Brooklyn,9
Cohan,2,,Brooklynn,1
Cohen,3,,Brooklyn-Sky,1
Colby,3,,Bryanna,1
Cole,85,,Bryn,1
